Step	Time	What happened
-----	------	--------------------------------------------------
1	22:33:58	Selenium-wire starting, proxy: http://43.231.192.105:4145
2	22:33:59	Proxy OK -> http://43.231.192.105:4145
3	22:33:59	Browser ready. Stay time per page: 100 s (no GUI).
4	22:34:21	Could not detect IP/country: Message: unknown error: net::ERR_TUNNEL_CONNECTION_FAILED
5	22:34:21	Bot started. Visiting 3 page(s), 100 s per page.
6	22:34:21	Opening page: https://maizan.me/
7	22:34:57	Something went wrong on this page: Message: unknown error: net::ERR_TUNNEL_CONNECTION_FAILED
8	22:39:15	Opening page: https://example.com/
9	22:40:11	Something went wrong on this page: Message: unknown error: net::ERR_TUNNEL_CONNECTION_FAILED
