Step	Time	What happened
-----	------	--------------------------------------------------
1	22:30:04	Selenium-wire starting, proxy: http://204.188.206.175:80
2	22:30:08	Proxy OK -> http://204.188.206.175:80
3	22:30:08	Browser ready. Stay time per page: 100 s (no GUI).
4	22:30:11	Could not detect IP/country: Expecting value: line 1 column 1 (char 0)
5	22:30:11	Bot started. Visiting 3 page(s), 100 s per page.
6	22:30:11	Opening page: https://maizan.me/
7	22:30:11	Page loaded correctly.
8	22:36:50	Opening page: https://example.com/
9	22:36:51	Page loaded correctly.
