TIMESTAMP             | BOT  | MESSAGE
2026-01-31 22:37:43,030  | 7    | Action: scrolling 2
2026-01-31 22:37:43,031  | 7    | Scrolling the page up and down
2026-01-31 22:37:51,537  | 7    | Done scrolling.
2026-01-31 22:37:53,752  | 7    | Action: mouse movements 1
2026-01-31 22:37:53,754  | 7    | Moving mouse around the page (like a real user)
2026-01-31 22:37:56,466  | 7    | Action: scrolling 1
2026-01-31 22:37:56,467  | 7    | Scrolling the page up and down
2026-01-31 22:38:05,469  | 7    | Done scrolling.
2026-01-31 22:38:08,258  | 7    | Short pause (like a real user), then continuing.
2026-01-31 22:38:30,711  | 7    | Browsing round 3 — about 5 seconds left on this page.
2026-01-31 22:38:30,746  | 7    | Doing 4 actions this round (scroll, click, move mouse).
2026-01-31 22:38:30,748  | 7    | Action: scrolling 1
2026-01-31 22:38:30,749  | 7    | Scrolling the page up and down
2026-01-31 22:38:38,249  | 7    | Done scrolling.
2026-01-31 22:38:38,251  | 7    | Short on time — skipping short pause.
2026-01-31 22:38:38,252  | 7    | Time’s up on this page. Moving on.
2026-01-31 22:38:38,253  | 7    | No pause — almost done.
2026-01-31 22:38:38,254  | 7    | Done with this page. Time spent: 101 sec, actions done: 9.
2026-01-31 22:38:38,256  | 7    | Page 3 of 3.
2026-01-31 22:38:38,257  | 7    | Waiting a bit before next page (like a real user).
