TIMESTAMP             | BOT  | MESSAGE
----------------------+------+--------------------------------------------------
2026-01-31 22:30:11,314  | 7    | Could not detect IP/country: Expecting value: line 1 column 1 (char 0)
2026-01-31 22:30:11,315  | 7    | Bot started. Visiting 3 page(s). (IP/country above.)
2026-01-31 22:30:11,315  | 7    | Starting. Will visit 3 page(s), 100 seconds per page.
2026-01-31 22:30:11,316  | 7    | Page 1 of 3.
2026-01-31 22:30:11,316  | 7    | Opening page: https://maizan.me/
2026-01-31 22:30:11,316  | 7    | Will stay on this page for 100 seconds.
2026-01-31 22:30:11,804  | 7    | Page loaded correctly.
2026-01-31 22:30:11,804  | 7    | Action plan calculated: {'initial_load_delay': (5, 15), 'scroll_sessions': 2, 'click_sessions': 1, 'mouse_movement_sessions': 2, 'break_duration_range': (10, 30), 'action_delay_range': (1, 3)}
2026-01-31 22:30:11,805  | 7    | Waiting a few seconds (like a real user), then browsing...
2026-01-31 22:30:21,988  | 7    | Browsing round 1 — about 99 seconds left on this page.
2026-01-31 22:30:22,063  | 7    | Doing 5 actions this round (scroll, click, move mouse).
2026-01-31 22:30:22,064  | 7    | Action: clicking 1
2026-01-31 22:30:22,064  | 7    | Looking for links and buttons to click...
2026-01-31 22:30:22,108  | 7    | Found 0 links or buttons.
2026-01-31 22:30:22,108  | 7    | No links or buttons found on this page.
2026-01-31 22:30:24,503  | 7    | Action: mouse movements 2
2026-01-31 22:30:24,503  | 7    | Moving mouse around the page (like a real user)
2026-01-31 22:30:28,535  | 7    | Done moving mouse.
2026-01-31 22:30:30,069  | 7    | Action: mouse movements 1
2026-01-31 22:30:30,069  | 7    | Moving mouse around the page (like a real user)
2026-01-31 22:30:33,137  | 7    | Action: scrolling 1
2026-01-31 22:30:33,137  | 7    | Scrolling the page up and down
2026-01-31 22:30:40,971  | 7    | Done scrolling.
2026-01-31 22:30:42,136  | 7    | Action: scrolling 2
2026-01-31 22:30:42,136  | 7    | Scrolling the page up and down
2026-01-31 22:30:50,612  | 7    | Done scrolling.
2026-01-31 22:30:52,861  | 7    | Short pause (like a real user), then continuing.
2026-01-31 22:31:19,213  | 7    | Browsing round 2 — about 42 seconds left on this page.
2026-01-31 22:31:19,252  | 7    | Doing 5 actions this round (scroll, click, move mouse).
2026-01-31 22:31:19,252  | 7    | Action: mouse movements 2
2026-01-31 22:31:19,252  | 7    | Moving mouse around the page (like a real user)
2026-01-31 22:31:20,482  | 7    | Action: scrolling 2
2026-01-31 22:31:20,482  | 7    | Scrolling the page up and down
2026-01-31 22:31:26,785  | 7    | Done scrolling.
2026-01-31 22:31:28,992  | 7    | Action: scrolling 1
2026-01-31 22:31:28,993  | 7    | Scrolling the page up and down
2026-01-31 22:31:36,669  | 7    | Done scrolling.
2026-01-31 22:31:38,007  | 7    | Action: clicking 1
2026-01-31 22:31:38,007  | 7    | Looking for links and buttons to click...
2026-01-31 22:31:38,032  | 7    | Found 0 links or buttons.
2026-01-31 22:31:38,032  | 7    | No links or buttons found on this page.
2026-01-31 22:31:40,789  | 7    | Action: mouse movements 1
2026-01-31 22:31:40,790  | 7    | Moving mouse around the page (like a real user)
2026-01-31 22:31:42,647  | 7    | Short pause (like a real user), then continuing.
2026-01-31 22:31:58,120  | 7    | Browsing round 3 — about 3 seconds left on this page.
2026-01-31 22:31:58,157  | 7    | Doing 5 actions this round (scroll, click, move mouse).
2026-01-31 22:31:58,157  | 7    | Action: scrolling 1
2026-01-31 22:31:58,157  | 7    | Scrolling the page up and down
2026-01-31 22:32:06,497  | 7    | Done scrolling.
2026-01-31 22:32:06,497  | 7    | Short on time — skipping short pause.
2026-01-31 22:32:06,497  | 7    | Time’s up on this page. Moving on.
2026-01-31 22:32:06,497  | 7    | No pause — almost done.
2026-01-31 22:32:06,498  | 7    | Done with this page. Time spent: 104 sec, actions done: 11.
2026-01-31 22:32:06,498  | 7    | Page 2 of 3.
2026-01-31 22:32:06,499  | 7    | Waiting a bit before next page (like a real user).
2026-01-31 22:36:50,581  | 7    | Opening page: https://example.com/
2026-01-31 22:36:50,582  | 7    | Will stay on this page for 100 seconds.
2026-01-31 22:36:51,017  | 7    | Page loaded correctly.
2026-01-31 22:36:51,018  | 7    | Action plan calculated: {'initial_load_delay': (5, 15), 'scroll_sessions': 2, 'click_sessions': 1, 'mouse_movement_sessions': 1, 'break_duration_range': (10, 30), 'action_delay_range': (1, 3)}
2026-01-31 22:36:51,018  | 7    | Waiting a few seconds (like a real user), then browsing...
2026-01-31 22:36:56,322  | 7    | Browsing round 1 — about 99 seconds left on this page.
2026-01-31 22:36:56,368  | 7    | Doing 4 actions this round (scroll, click, move mouse).
2026-01-31 22:36:56,368  | 7    | Action: scrolling 2
2026-01-31 22:36:56,368  | 7    | Scrolling the page up and down
2026-01-31 22:37:06,010  | 7    | Done scrolling.
2026-01-31 22:37:07,918  | 7    | Action: mouse movements 1
2026-01-31 22:37:07,921  | 7    | Moving mouse around the page (like a real user)
2026-01-31 22:37:10,604  | 7    | Action: clicking 1
2026-01-31 22:37:10,606  | 7    | Looking for links and buttons to click...
2026-01-31 22:37:10,648  | 7    | Found 0 links or buttons.
2026-01-31 22:37:10,650  | 7    | No links or buttons found on this page.
2026-01-31 22:37:13,601  | 7    | Action: scrolling 1
2026-01-31 22:37:13,602  | 7    | Scrolling the page up and down
2026-01-31 22:37:20,192  | 7    | Done scrolling.
2026-01-31 22:37:22,333  | 7    | Short pause (like a real user), then continuing.
2026-01-31 22:37:40,842  | 7    | Browsing round 2 — about 55 seconds left on this page.
2026-01-31 22:37:40,883  | 7    | Doing 4 actions this round (scroll, click, move mouse).
2026-01-31 22:37:40,885  | 7    | Action: clicking 1
2026-01-31 22:37:40,886  | 7    | Looking for links and buttons to click...
2026-01-31 22:37:40,912  | 7    | Found 0 links or buttons.
2026-01-31 22:37:40,913  | 7    | No links or buttons found on this page.
