Step	Time	What happened
-----	------	--------------------------------------------------
1	22:35:54	Selenium-wire starting, proxy: http://45.128.135.65:1080
2	22:35:55	Proxy OK -> http://45.128.135.65:1080
3	22:35:55	Browser ready. Stay time per page: 100 s (no GUI).
4	22:36:51	Could not detect IP/country: Message: unknown error: net::ERR_TUNNEL_CONNECTION_FAILED
5	22:36:51	Bot started. Visiting 3 page(s), 100 s per page.
6	22:36:51	Opening page: https://maizan.me/
7	22:37:47	Something went wrong on this page: Message: unknown error: net::ERR_TUNNEL_CONNECTION_FAILED
8	22:40:46	Opening page: https://example.com/
9	22:41:24	Something went wrong on this page: Message: unknown error: net::ERR_TUNNEL_CONNECTION_FAILED
